Title,Source,Link,Format,Time,Topic,Also relevant,Also relevant 2,,Equity lens,Role,Use,Access,Year,Course link,Added by,Added date,Review date,Ready
"Street Data: A Next-Generation Model for Equity, Pedagogy, and School Transformation",Shane Safir and Jamila Dugan,https://amzn.to/4uAllmk,Book,60 plus,Curriculum and Instruction,Leading Yourself,,"Argues that qualitative street data, not test scores, should drive equity work. For leadership teams rethinking how they measure school improvement.",Yes,Any,PLC or team,Purchase,,,Lydia Lindsoe,2025,,OK
What Is My Value Instructionally to the Teachers I Supervise?,Baruti K. Kafele ,https://www.amazon.com/What-Value-Instructionally-Teachers-Supervise/dp/1416633456/ref=sr_1_4?dib=eyJ2IjoiMSJ9.ZForguSP2821jsa7dRUD5rTvRkKYWb7jSKpK7WYwxdaSKwT2foiLBLi11ZSdT6RTc1-a_W8PINWnkMcwshoTGS-HkUAQXIXU9nJV6LprDWcRkmTPnbiXey6B77AzIrpZstbGrfmR8ESNXMcR1geBt6Y0Ftpd88Hi0dktIfm0aGKrQdvHCIRujfSOuSqc9g9d-1121cHsOP501Zzqu4h_MNBgwiSPBp56SGf9p_4m3sY.xiwRojtYBTWdzh9zvyOK1JoGuo4KcmrhEg_lScLKtNQ&dib_tag=se&qid=1761327251&refinements=p_27%3ABaruti+Kafele&s=books&sr=1-4,Book,60 plus,Curriculum and Instruction,,,"Asks principals what instructional value they actually bring to the teachers they supervise. Short, reflective, built around questions rather than answers.",Yes,Principal,Personal learning,Purchase,,,Lydia Lindsoe,2025,,OK
What Being Hispanic and Latinx Means in the United States | Fernanda Ponce | TEDxDeerfield,TEDx Talks,https://youtu.be/Q1A4Vsh5Qas?si=Pnj4kZ-WyWb2TfWF,Video,10 to 30,Current Context,Curriculum and Instruction,,TEDx talk on what Hispanic and Latinx identity and labels mean in the United States. Useful opener for a staff conversation.,Yes,Any,Staff meeting,Free,,,Lydia Lindsoe,2025,,OK
The Talk Protor and Gamble connects with CRSL Motherwork,Commercial,https://www.bing.com/videos/riverview/relatedvideo?q=the+talk+protor+and+gamble&mid=C722B10B3EE4EE083501C722B10B3EE4EE083501&FORM=VIRE,Video,Under 10 min,"Family, Community, and Heritage",,,Two minute advertisement showing Black parents preparing children for racial bias. Lands hard in a staff meeting and needs facilitation afterward.,Yes,Any,Staff meeting,Free,,,Derek Francis,2025,,OK
Troublemakers: Lessons in Freedom from Young Children at School,Carla Shalaby,https://www.abebooks.com/9781620975077/Troublemakers-Carla-Shalaby-1620975076/plp?ref_=ps_ms_267691761&cm_mmc=msn-_-comus_dsa-_-naa-_-naa&msclkid=5c756cb060bd1155c1ea044bd82b7796,Book,60 plus,Curriculum and Instruction,"Policy, Systems, and Data",,"Profiles four young children labelled difficult, and reframes their behaviour as a signal about the school rather than the child.",Yes,Any,PLC or team,Purchase,,,"Nasreen Fynewever, PhD",2025,,OK
Dena Simmons,Dena Simmons ,https://www.denasimmons.com/,Website,30 to 60,Leading Yourself,Developing Teachers,,"Educator's site collecting her talks and writing on race, belonging, and social emotional learning. A source to return to, not one item.",Yes,Any,Personal learning,Free,,,Lydia Lindsoe,2025,,OK
New America-CRT,New America,https://www.newamerica.org/education-policy/reports/culturally-responsive-teaching/understanding-culturally-responsive-teaching/,Article,Under 10 min,Leading Yourself,,,Report synthesising the research base for culturally responsive teaching. Good grounding for anyone who has to explain why the practice is evidence based.,Yes,Any,Personal learning,Free,,,Lydia Lindsoe,2025,,OK
Culturally Responsive Problem-Solving Guide,Wisconsin Department of Public Instruction,https://drive.google.com/file/d/1PxSleXQpfiubVzLczt0KLn1J-cIVneWj/view?usp=sharing,Toolkit,60 plus,Leading Yourself,,,"Podcast pairing CRSL research with practitioner conversation, through Muhammad Khalifa's institute. Episodes stand alone, so pick one rather than starting at the beginning.",,,,,,,Lydia Lindsoe,2025,,OK
Black Government Girls,Entertain_DC,https://www.youtube.com/watch?v=VX7cbgWPqYo,Video,Under 10 min,Leading Yourself,,,Minnesota's state framework naming five priorities for closing equity gaps. Written for districts and schools planning improvement work with families.,,,,,,,Lydia Lindsoe,2025,,OK
CRSLI/             Equity Unlocked/       Dr. Khalifa,Culturally Responsive School Leadership Institute,https://www.crsli.org/podcast,Podcast,30 to 60,"Policy, Systems, and Data",,,Research review of what actually prepares teachers and leaders to work in culturally responsive ways. For anyone designing preparation or PD.,Yes,Any,Personal learning,Free,,,Melanie Lawrence,2025,,OK
MN Equity in Action Framework,"Minnesota Every Student
Succeeds Act Equity Leadership Learning Community.",https://drive.google.com/file/d/1OxOYXvrESF4lJH5u3GbOkeKaT-uOhA_a/view?usp=drive_link,Toolkit,60 plus,Leading Yourself,Developing Teachers,"Family, Community, and Heritage",Minnesota's state framework naming five priorities for closing equity gaps. Written for districts and schools planning improvement work with families.,Yes,District leader,Policy or board work,Free,,,Lydia Lindsoe,2025,,OK
"Research and Evidence-Based
Best Practices for Preparing
Educators for Culturally Responsive
Teaching and Leading",WestEd,https://drive.google.com/file/d/13xO5fM55Y0Ij1TTh74MVwXUW8uZ_xOo-/view?usp=drive_link,Research,30 to 60,Curriculum and Instruction,,,Research review of what actually prepares teachers and leaders to work in culturally responsive ways. For anyone designing preparation or PD.,Yes,District leader,Personal learning,Free,,,Lydia Lindsoe,2025,,OK
Checklist & Goal Setting ,,https://drive.google.com/file/d/1ucxavSIeUr3g2l1lCuYdJCD_0sFuAxgd/view?usp=drive_link,Article,,,,,"Self-assessment checklist a school team completes together, then uses to set equity goals. Fits inside one meeting.",Yes,Any,PLC or team,Free,,,Lydia Lindsoe,2025,,Incomplete
Centering Equity ,National Assoication of Elementary Principals,https://drive.google.com/file/d/1I4ULP-jc8OcIaw1W3N79vpzhWIF-W6Ik/view?usp=drive_link,Toolkit,60 plus,Developing Teachers,Leading Yourself,,"Leading Lessons supplement for elementary principals to use with staff. Magazine format, built to be worked through in a meeting rather than read alone.",Yes,Principal,Staff meeting,Free,,,Lydia Lindsoe,2025,,OK
CRSL Dr. Muhammad Khalifa,Dr. Muhammad Khalifa ,https://drive.google.com/file/d/1m_5vQQImN0jHbUkH7F4RgGNbuZMEC32g/view?usp=sharing,Toolkit,60 plus,Leading Yourself,,,,Yes,Any,,Paywalled,,,Lydia Lindsoe,2025,,Incomplete
White Paper Series on Culturally Sustaining | The Spencer Foundation,The Spencer Foundation,https://www.spencer.org/learning/category/white-paper-series-on-csre,Website,60 plus,Curriculum and Instruction,,,Here is the link to all of the Spencer Foundation papers that Dr. Khalifa mentioned this morning.,Yes,Any,Personal learning,Free,,,Lydia Lindsoe,2025,,OK
Latinas Talk Latinas | National Museum of American History,National Museum of American History,https://americanhistory.si.edu/explore/topics/latino-history/latinas-talk-latinas,Video,60 plus,Leading Yourself,,,Smithsonian video series in which Latina scholars discuss Latina figures in American history. Short episodes suited to classroom or staff use.,Yes,Teacher leader,Staff meeting,Free,,,Lydia Lindsoe,2025,,OK
Jim Crow of the North | Redlining and Racism in Minnesota | Full Documentary,TPT,https://youtu.be/XWQfDbbQv9E?si=DT7wf6qBi1Yh1aKV,Video,30 to 60,Leading Yourself,,,"Documentary on how redlining shaped Minneapolis, and how those maps still show up in today's disparities. The Minnesota specific one.",Yes,Any,PLC or team,Free,,,Lydia Lindsoe,2025,,OK
Race: The Power of an Illusion,"Jointly produced by California Newsreel, the Othering & Belonging Institute, the U.C. Berkeley Library, and the American Cultures Center at U.C. Berkeley",https://www.racepowerofanillusion.org/,Video,60 plus,Leading Yourself,Developing Teachers,,"Companion site to the three part documentary on race as a social invention rather than biology. Deep, and best used in sections.",Yes,Any,PLC or team,Free,,,Lydia Lindsoe,2025,,OK
UDL,Resource Training and Solutions Service Cooperative,https://sites.google.com/resourcecoop-mn.gov/learning-link-for-udl/home,Video,Under 10 min,Curriculum and Instruction,,,"Minnesota cooperative's Universal Design for Learning hub, with lessons and checklists on designing for access from the start.",Yes,Teacher leader,Personal learning,Free,,,Lydia Lindsoe,2025,,OK
Centering Students Voices in Instructional Leadership,Good Trouble,https://docs.google.com/document/d/1oFZnIJssYetza0zVgr0GPwM42nqA6nzRQQvIGe1xE6s/edit?tab=t.0,Research,60 plus,Curriculum and Instruction,,,"Document on centering student voice in instructional leadership, reframing the troubled youth narrative. Tied to High School for Recording Arts.",Yes,Principal,Personal learning,Free,,,Melanie Lawrence,2025,,OK
"A Good Time for the Truth, Race in Minnesota 
Regional Content Session, March9, 2026
Bookmark for Teams",,,Curriculum,,Curriculum and Instruction,,,Your own regional session built on the essay Brutal from the Minnesota race anthology. Slides and a reflection bookmark included.,Yes,Any,Staff meeting,Free,,,Hannah Storm,2025,,Incomplete
Racial and Language Microaggressions,Association for Psychological Science,https://drive.google.com/file/d/1Y1UJ3lZ8Q7QZaqOpbY6tPTh1qkzFJKtl/view?usp=sharing,Research,60 plus,Leading Yourself,Developing Teachers,,Probable match to a peer reviewed article on racial and language microaggressions in schools. Verify the Drive file before citing it.,Yes,Teacher leader,Personal learning,Free,,,Melanie Lawrence,2025,,OK
